				Overall							PP		SH		Defense	
Player Name	Team	Pos	Games	G	A	Pts	+/-	PIM	SOG	GWG	G	A	G	A	Hits	BS
Shea Weber	MON	D	47	11	17	28	12	20	127	2	4	1	0	0	103	87
Charlie Coyle	BOS	RW	70	11	19	30	1	18	130	2	1	2	1	0	65	51
Phillip Danault	MON	C	70	11	35	46	15	37	111	1	0	2	0	2	74	47
Rickard Rakell	ANH	C	59	11	21	32	-17	27	160	1	3	7	0	0	74	34
Alex Kerfoot	COL	C	66	11	23	34	-11	32	92	0	3	9	0	0	16	24
Lawson Crouse	ARI	LW	70	11	11	22	5	62	109	1	0	0	2	0	251	38
Ondrej Kase	ANH	RW	30	11	9	20	0	2	94	2	1	3	0	0	17	11
Shea Theodore	VGK	D	69	11	22	33	-2	18	177	1	4	4	0	1	25	79
Adrian Kempe	LA	C	69	11	14	25	-10	32	104	2	0	4	0	0	74	17
Jesperi Kotkaniemi	MON	C	69	11	21	32	4	24	117	2	1	4	0	0	53	37
Brandon Pirri	VGK	C	27	11	5	16	8	6	72	3	3	1	0	0	23	11
John Carlson	WAS	D	70	11	51	62	19	34	156	1	3	26	0	0	47	149
Tyler Bozak	STL	C	61	11	18	29	-10	14	118	3	2	5	0	0	49	29
Damon Severson	NJ	D	71	11	26	37	-17	56	123	0	3	7	0	1	74	69
Kyle Okposo	BUF	RW	66	11	14	25	-13	39	125	2	5	3	0	0	81	21
Jeff Carter	LA	C	64	10	17	27	-22	34	142	1	5	8	0	1	70	27
Colin Wilson	COL	LW	53	10	10	20	-8	8	84	2	4	1	0	0	45	22
Filip Chytil	NYR	C	66	10	11	21	-15	8	116	2	2	3	0	0	25	20
Vladislav Namestnikov	NYR	C	66	10	17	27	-8	28	103	3	1	1	1	2	118	54
Andrew Copp	WPG	C	57	10	12	22	17	6	71	2	0	0	1	0	54	29
Colton Parayko	STL	D	70	10	12	22	14	15	165	3	4	3	0	1	108	131
Mark Jankowski	CGY	C	67	10	15	25	2	8	84	1	0	0	4	3	29	54
Josh Archibald	ARI	RW	57	10	9	19	0	15	79	1	0	0	0	1	137	32
Matt Calvert	COL	LW	70	10	14	24	-6	49	124	0	1	1	0	2	99	42
Loui Eriksson	VAN	RW	69	10	12	22	-11	20	92	2	1	2	0	0	3	25
Calle Jarnkrok	NSH	C	69	10	15	25	16	10	100	1	1	1	1	0	52	21
Joel Armia	MON	RW	46	10	7	17	3	14	116	1	0	2	1	0	90	17
Miro Heiskanen	DAL	D	70	10	19	29	-10	16	154	3	1	5	0	1	31	59
Casey Mittelstadt	BUF	C	66	10	11	21	-11	10	100	1	2	6	0	0	21	14
Zach Werenski	CLS	D	70	10	30	40	-11	18	146	1	2	11	0	0	58	75
Austin Wagner	LA	LW	50	10	7	17	2	12	52	0	0	0	0	0	110	6
Tanner Pearson	VAN	LW	68	10	7	17	-17	25	115	0	1	1	0	0	114	32
Seth Jones	CLS	D	63	9	32	41	-2	26	158	4	0	9	0	2	91	103
Troy Brouwer	FLA	RW	63	9	9	18	-6	28	74	0	0	0	0	0	149	33
Derek Ryan	CGY	C	69	9	19	28	8	22	80	1	2	5	0	4	13	15
Nate Schmidt	VGK	D	50	9	18	27	18	6	99	1	1	6	0	0	30	88
Paul Stastny	VGK	C	40	9	24	33	11	28	85	1	0	3	1	0	27	11
Danton Heinen	BOS	C	67	9	20	29	10	16	103	2	1	5	0	0	45	32
Ivan Barbashev	STL	LW	68	9	10	19	-9	13	45	0	0	0	2	0	66	28
Tyson Jost	COL	C	58	9	11	20	-3	10	87	2	4	1	0	0	34	25
Keith Yandle	FLA	D	70	9	46	55	-15	46	177	2	7	28	0	0	36	67
Nick Ritchie	ANH	LW	54	9	20	29	5	58	84	2	2	5	0	0	107	28
Vince Dunn	STL	D	66	9	19	28	6	39	130	2	2	4	0	0	38	58
Frans Nielsen	DET	C	66	9	24	33	-9	12	113	4	0	8	0	1	70	43
Antoine Roussel	VAN	LW	65	9	22	31	5	118	84	1	0	0	0	0	87	50
John Klingberg	DAL	D	52	9	28	37	4	10	130	5	4	13	0	0	33	63
Travis Sanheim	PHI	D	70	9	22	31	3	12	100	2	2	2	0	0	35	112
Adam Lowry	WPG	LW	66	9	9	18	3	33	86	3	0	0	1	2	195	41
Esa Lindell	DAL	D	70	9	20	29	12	29	111	1	3	3	2	0	129	133
Tyler Motte	VAN	C	68	9	7	16	-8	6	105	1	0	0	2	0	187	46
Luke Glendening	DET	RW	71	9	12	21	1	15	92	1	0	0	1	1	172	89
Chris Tierney	OTT	C	71	9	35	44	-20	26	106	1	0	8	0	0	29	50
Markus Granlund	VAN	C	65	9	10	19	-5	16	105	0	1	1	0	1	39	21
Victor Hedman	TB	D	63	9	36	45	15	44	166	2	2	21	0	1	50	92
Justin Faulk	CAR	D	69	8	20	28	7	41	183	1	4	4	0	0	126	96
Cal Clutterbuck	NYI	RW	61	8	13	21	9	42	77	2	3	0	0	1	167	36
Jason Spezza	DAL	C	68	8	19	27	-10	25	101	1	2	10	0	0	13	28
Sven Baertschi	VAN	LW	22	8	5	13	-5	6	40	0	3	4	0	0	16	13
Rasmus Dahlin	BUF	D	70	8	29	37	-7	26	147	3	4	12	0	0	76	57
Miles Wood	NJ	LW	56	8	13	21	-9	72	140	1	1	2	0	0	86	23
William Carrier	VGK	LW	48	8	1	9	-1	20	81	1	0	0	0	0	247	13
Roope Hintz	DAL	LW	46	8	6	14	-8	20	71	3	3	0	0	0	73	30
Zack Smith	OTT	C	62	8	16	24	-4	72	92	0	0	0	0	2	116	27
Matt Niskanen	WAS	D	69	8	15	23	-1	39	119	1	1	1	0	1	156	114
Matt Luff	LA	RW	33	8	3	11	-2	9	45	2	1	0	0	0	17	19
Zach Aston-Reese	PIT	C	43	8	9	17	12	26	76	1	0	0	1	0	138	37
Artturi Lehkonen	MON	LW	71	8	17	25	2	30	147	3	0	0	0	0	101	33
Lucas Wallmark	CAR	C	68	8	17	25	-3	34	116	4	2	5	0	0	65	33
Henrik Borgstrom	FLA	C	39	8	7	15	-9	2	50	0	3	2	0	0	11	12
Brock McGinn	CAR	LW	69	8	13	21	9	20	106	0	0	0	1	0	120	32
Mattias Ekholm	NSH	D	70	8	34	42	21	41	130	3	2	5	0	1	61	93
Mikko Koivu	MIN	C	48	8	21	29	-2	22	89	0	2	10	0	1	13	32
Ryan McDonagh	TB	D	71	8	28	36	32	28	112	1	0	3	0	2	80	129
Tyler Myers	WPG	D	68	8	17	25	11	57	131	2	0	5	1	1	77	87
Riley Sheahan	FLA	C	70	8	9	17	-10	15	91	2	0	0	1	1	65	36
Devin Shore	ANH	C	66	8	18	26	-9	9	64	4	1	3	2	0	83	57
Darnell Nurse	EDM	D	70	8	27	35	-10	77	171	1	1	8	0	1	135	122
T.J. Brodie	CGY	D	69	8	23	31	23	24	89	1	1	3	1	0	19	78
Kyle Clifford	LA	LW	60	8	6	14	3	57	92	2	0	0	0	0	98	21
Michael Grabner	ARI	RW	30	8	6	14	0	8	50	1	0	0	5	3	24	14
Ryan Pulock	NYI	D	70	8	25	33	22	20	148	3	3	5	0	0	120	127
Jesper Fast	NYR	RW	64	8	12	20	0	26	80	1	0	0	0	0	117	46
Ryan Donato	MIN	C	45	8	10	18	-7	6	103	1	3	3	0	0	19	13
Evan Rodrigues	BUF	C	64	8	18	26	-8	23	144	1	2	2	0	3	29	28
Jesper Bratt	NJ	LW	51	8	25	33	-8	6	91	1	1	7	0	0	36	22
Michael Rasmussen	DET	C	59	8	9	17	-7	29	71	0	4	0	0	0	80	27
